"filename", "language", "JSON", "Python", "JSON with Comments", "Markdown", "TypeScript JSX", "TypeScript", "HTML", "JavaScript", "pip requirements", "YAML", "comment", "blank", "total"
"c:\Users\josip\projects\zavrsni\Hvar_Poljun-v2p2-2023_04_26\pixinfo.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 584227, 2160, 3309, 589696
"c:\Users\josip\projects\zavrsni\backend\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\josip\projects\zavrsni\backend\app\asgi.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\josip\projects\zavrsni\backend\app\settings.py", "Python", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 30, 50, 174
"c:\Users\josip\projects\zavrsni\backend\app\urls.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15
"c:\Users\josip\projects\zavrsni\backend\app\wsgi.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\josip\projects\zavrsni\backend\manage.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 23
"c:\Users\josip\projects\zavrsni\backend\manager\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\josip\projects\zavrsni\backend\manager\admin.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\josip\projects\zavrsni\backend\manager\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\josip\projects\zavrsni\backend\manager\imageStuff.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 32
"c:\Users\josip\projects\zavrsni\backend\manager\migrations\0001_initial.py", "Python", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 45
"c:\Users\josip\projects\zavrsni\backend\manager\migrations\0002_user_bio.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\josip\projects\zavrsni\backend\manager\migrations\0003_sequence.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
"c:\Users\josip\projects\zavrsni\backend\manager\migrations\0004_remove_user_first_name_remove_user_last_name.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 22
"c:\Users\josip\projects\zavrsni\backend\manager\migrations\0005_user_first_name_user_last_name.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\josip\projects\zavrsni\backend\manager\migrations\0006_remove_user_bio.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
"c:\Users\josip\projects\zavrsni\backend\manager\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\josip\projects\zavrsni\backend\manager\models.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 33
"c:\Users\josip\projects\zavrsni\backend\manager\serializers.py", "Python", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 58
"c:\Users\josip\projects\zavrsni\backend\manager\tests.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\josip\projects\zavrsni\backend\manager\views.py", "Python", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 74
"c:\Users\josip\projects\zavrsni\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\josip\projects\zavrsni\frontend\README.md", "Markdown", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 21, 47
"c:\Users\josip\projects\zavrsni\frontend\package-lock.json", "JSON", 17269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17270
"c:\Users\josip\projects\zavrsni\frontend\package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\josip\projects\zavrsni\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"c:\Users\josip\projects\zavrsni\frontend\src\@interfaces\authContext.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\josip\projects\zavrsni\frontend\src\@interfaces\interfaces.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\josip\projects\zavrsni\frontend\src\@interfaces\other.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\josip\projects\zavrsni\frontend\src\App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 44, 5, 50
"c:\Users\josip\projects\zavrsni\frontend\src\components\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 7, 41
"c:\Users\josip\projects\zavrsni\frontend\src\components\Canvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 6, 80
"c:\Users\josip\projects\zavrsni\frontend\src\components\ControlPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\josip\projects\zavrsni\frontend\src\components\Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\josip\projects\zavrsni\frontend\src\components\Label.tsx", "TypeScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 3, 8, 72
"c:\Users\josip\projects\zavrsni\frontend\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 1, 6, 79
"c:\Users\josip\projects\zavrsni\frontend\src\components\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\josip\projects\zavrsni\frontend\src\components\SelectBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\josip\projects\zavrsni\frontend\src\components\Slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\josip\projects\zavrsni\frontend\src\components\SliderItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 7, 89
"c:\Users\josip\projects\zavrsni\frontend\src\context\auth.tsx", "TypeScript JSX", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 10, 11, 98
"c:\Users\josip\projects\zavrsni\frontend\src\context\context.tsx", "TypeScript JSX", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 3, 13, 73
"c:\Users\josip\projects\zavrsni\frontend\src\context\useLocalStorage.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\josip\projects\zavrsni\frontend\src\globalStyles.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 6, 31
"c:\Users\josip\projects\zavrsni\frontend\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 6, 62
"c:\Users\josip\projects\zavrsni\frontend\src\label_processing\label_processing.ts", "TypeScript", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 7, 11, 142
"c:\Users\josip\projects\zavrsni\frontend\src\networking\mockupImgs.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\josip\projects\zavrsni\frontend\src\networking\sequenceControllerNetwork.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 6, 37
"c:\Users\josip\projects\zavrsni\frontend\src\pages\AdminPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\josip\projects\zavrsni\frontend\src\pages\DashboardPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 299, 0, 0, 0, 0, 0, 24, 22, 345
"c:\Users\josip\projects\zavrsni\frontend\src\pages\ErrorPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\josip\projects\zavrsni\frontend\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 9, 62
"c:\Users\josip\projects\zavrsni\frontend\src\pages\RegisterPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 10, 73
"c:\Users\josip\projects\zavrsni\frontend\tsconfig.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 17323, 371, 26, 26, 1110, 223, 18, 25, 13, 584227, 2326, 3683, 609371
